sku|name|description|store_id|department_id|category_id|subcategory_id|price
15987494|Gigabyte BRIX Pro GB-BXI7-4770R Desktop Computer - Intel Core i7 i7-4|Gigabyte BRIX Pro GB-BXI7-4770R Desktop Computer - Intel Core i7 i7-4770R 3.20 GHz - 0 Byte DDR3L SDRAM - 0 Byte HDD - Mini PC - Black|2|473|20262|132|$700.00
21569057|Sterling Silver Black Plated and CZ Spiral Circle Earrings|Black plated Sterling Silver and CZ make these circle earrings shine.  This unique circle design is highlighted by the glitter of CZ.  Soon to be you favorite fashion go to.|4|13|2353|14492|$39.99
18087867|2PK Compatible 407259 ( Type SP201LA ) Toner Cartridge For Ricoh Aficio SP201 SP203 SP204 SP213 SP21|NL- 407259 x2|22|186|2086|12447|$86.49
18674518|Great Teams: 16 Things High Performing Organizations Do Differently (CD-Audio)|<p><strong>What makes a team great? Not just good. Not just functional. But great?</strong></p><p>Over the last six years, long-time <em>Sports Illustrated</em> associate editor Don Yaeger has been invited by some of the greatest companies in the world...|3|9|1407|6785|$17.93
22488408|Angola Stripe Gray/ White Area Rug (2' X 3')|Angola Stripe Gray/ White Area Rug (2' X 3')|1|3|244|2005|$30.00
15828712|Men's Rockport Empire West Wingtip Dress Blues Leather|The Empire West Wingtip features adidas adiPRENE sport technology cushioning absorbs shock and protects the heel at impact, mesh linings that wick away moisture and enhance breathability, durable and easy to clean uppers that provide|7|29|657|1685|$74.99
14114980|Case Logic Slim Carrying Case (Sleeve) for 7" Tablet PC - Black|Case Logic Slim Carrying Case (Sleeve) for 7" Tablet PC - Black|2|473|20265|28204|$11.49
22073704|4x3mm Emerald Clover Stud Earrings with Diamond Halo in 14K White Gold|Dazzling pear-shaped emeralds are prong set in 14k gold with diamonds in the center and around the lush gemstones. They are arranged in an elegant clover pattern and evoke a sense of rich and refined beauty.|4|13|2353|14504|$1,219.00
18540806|Great Neck 12MMS 12MM X 1/4" Drive 6 Point Socket Metric|Great Neck 12MMS 12MM X 1/4" Drive 6 Point Socket Metric|1|33|717|11258|$14.69
16932219|Journee Collection Sterling Silver Cubic Zirconia Tree Pendant|Flaunt high fashion with this sterling silver necklace from Journee Collection. This necklace features a hammered pendant that highlights a tree of life with cubic zirconia stones.  A 16-inch cable chain with 1-inch extension completes this look.|4|13|2357|14599|$20.99
22690464|Moen 147913 Multi-Function Hand Shower with 3 Spray Patterns from the Envi Collection|Product Features: Covered under Moen's limited lifetime warranty Premier finishing process - finishes will resist corrosion and tarnishing through everyday use Multiple spray functions - featuring 3 spray patterns Flow Rate: 1.75 GPM (gallons-per-minute)…|1|36|944|3243|$83.62
22637699|Rocker Snap On Case for Apple iPhone 7 Plus - Cross with Wings on Black|Rocker Snap-On. Cross with Wings on Black|2|51|2764|17317|$6.50
18903839|Endangered (CD-Audio)|When Sophie has to visit her mother at her sanctuary for bonobos, shes not  thrilled to be there. Then Otto, an infant bonobo, comes into her life, and for  the first time she feels responsible for another creature. But peace does not  last long for S...|3|9|441|1169|$20.62
17462565|CyberPowerPC Gamer Supreme SLC8400 Desktop Computer - Intel Core i7 (|CyberPowerPC Gamer Supreme SLC8400 Desktop Computer - Intel Core i7 (6th Gen) i7-6700K 4 GHz - 16 GB DDR4 SDRAM - 2 TB HDD - 128 GB SSD - Windows 10 Home 64-bit - Blue, White|2|473|20262|28193|$1,491.99
19406392|Antiqued Heriz Wool Recreation Hand-Knotted Rug (5'2 x 6'10)|100 Percent Wool Antiqued Heriz Recreation Hand-Knotted Rug|1|3|244|2693|$1,335.49
16128588|In Win BL672 Computer Case|In Win BL672 Computer Case|2|7|272|12991|$94.99
12937849|Journee Women's Metal Fashion Sunglasses|These Journee women's fashion sunglasses are available in coral, white and turquoise. These sunglasses offer a metal frame and provide full UV protection.|7|234|3422|20469|$14.99
22714472|Bandolino Womens Camme W Riding Boots Wide Calf Leather - 6.5 medium (b,m)|Manufacturer: Bandolino Size Origin: US Style Type: Riding Boots Collection: Bandolino Closure: Side Zipper Material: Leather Upper Fabric Type: Leather Sku: P2054646 Measurement Guide Click here to view our shoe sizing guide|7|29|692|2747|$95.99
18975208|The Northwest Company COL Penn State Anthem Curtain Panel Pair|Pump up the Nittany Lions energy in your room with this panel pair.|1|3|1456|6420|$33.99
20605692|Adrianna Papell Womens Mesh Sequined Semi-Formal Dress - 10|not_available|7|213|2120|12724|$169.99
